"chat","yhat"
0,15.3616696175985
0,14.9354102843879
0,16.0017353138931
0,10.7544870354433
0,14.7242952226441
1,15.457828852622
0,15.9027498770389
0,15.4390762067526
0,10.620743614397
0,18.0715738875919
0,11.9398566304985
0,13.7221648999235
0,12.9148490546793
0,14.2630545806002
0,14.8942929980767
0,14.1712192762553
0,14.0612604051481
0,14.8541229782143
0,13.6964165217953
1,12.9504293410216
0,11.6530730386903
0,10.2533501587335
0,16.0606414575352
0,15.2823902543083
0,14.6799789179781
0,13.6455669975666
0,15.5744712572453
0,14.1313213833578
0,13.9809187672401
1,10.8756326424439
0,13.3344898584223
1,17.5799710289599
0,12.7169304214493
0,11.8223475595105
0,14.2629780783931
0,13.7060599201649
0,11.1464412243181
0,12.5182783705843
0,12.0375755072164
0,14.5012769113053
0,16.9939445644873
0,14.43312526173
0,16.3971308429031
0,11.3027924101327
0,11.4000879674295
0,13.6172560798969
0,12.4484306427785
0,12.7219398542983
0,14.7900942934258
0,14.9742882506897
0,15.5429139558536
0,14.3088975052618
0,15.9879091156823
0,11.3980306538535
0,12.6441978497075
0,13.7699995074553
1,10.3118413793878
1,13.4333276027299
0,12.2482629783108
0,14.0248014938111
1,13.2404900614849
1,12.4440022940654
0,12.7169459164307
0,13.9989881124537
0,13.2229206532666
0,13.3629574053199
0,11.0576700385127
0,14.1484888435097
0,14.0178255038707
0,12.6258976349829
1,17.9284822286645
0,12.8805082698133
1,15.0560411252124
1,16.4163964062369
0,12.7555390986277
0,15.1204522660849
0,13.1507916798234
0,15.1994566144459
0,13.9449612595665
0,14.3732236898199
0,15.3293375803079
0,9.86182594346798
0,14.097568710931
0,13.7357158019828
0,14.6199631589859
0,11.2248938502376
0,13.4049997680848
0,14.534540554885
0,15.850667475913
0,15.3449151666132
0,15.2241914079197
0,19.1190981404059
0,12.9354836559917
0,15.5414100998679
0,15.1792313518181
0,18.120130902733
0,14.2167192177615
0,15.3993624954703
1,16.0305598561044
0,14.5697067696213
0,12.2934468287005
1,19.5274560996454
0,13.795002373668
0,12.8180371690209
0,14.1589933638376
1,16.9007764975048
